name,type
com.duoyi.shenwu3,5
com.netease.mrzh.huawei,5
com.king.candycrushsodasaga,5
com.tencent.tmgp.sgqyz,5
com.gismart.realdrum2free,5
com.dalongtech.cloud,5
com.sinyee.babybus.shadow,5
com.miHoYo.wd.huawei,5
com.miHoYo.HSoDv2.huawei,5
com.sinyee.babybus.homeland,5
com.epicgames.portal,5
com.netease.soulofhunter.huawei,5
org.ppsspp.ppsspp,5
com.netease.wotb,5
com.topwar.gp,5
com.fengniao.qtdl.huawei,5
com.droidpiggy.weiqi,5
com.miHoYo.HSoDv2Original,5
com.yodo1.SkiSafari.HUAWAI,5
com.supercell.clashroyale,5
com.moonactive.coinmaster,5
com.ea.game.simcitymobile_row,5
com.netease.tank.huawei,5
com.ccyiyo.story,5
com.ycgame.t11,5
com.europosit.pixelcoloring,5
com.lhq,5
com.tiancity.dom.huawei,5
com.gof.china,5
com.taojin.dungeon2,5
com.cis.jiangnan.vivo,5
com.netease.lrs,5
com.gameabc.sgspad,5
paile.mengle.operator.huawei,5
com.nd.myht,5
com.qxxy.cookingcity.huawei,5
com.tencent.tmgp.codev,5
com.xd.humanfallflat,5
com.miga.world.cn.huawei,5
com.igg.android.lordsmobile_cn,5
com.game.shns.HUAWEI,5
com.seasun.jx3,5
com.xindong.torchlight,5
com.pwrd.tzyxmznew.huawei,5
com.netease.XY2Pocket,5
com.funplus.dreamdetective,5
com.tzyz.meng.huawei,5
com.endless.nightmare.bdxj.huawei,5
com.netease.dhxy.huawei,5
com.jbdfw.huawei,5
com.netease.mhxyhtb,5
com.netease.yhtj.huawei,5
com.ilongyuan.sdorica.longyuan,5
com.happyelements.happyfishandroidcns,5
com.crisisfire.android.baidu,5
com.turbochilli.rollingsky_cn.huawei,5
com.tinmanarts.JoJoSherlock,5
com.tencent.fifamobile,5
com.outfit7.talkingtom.huawei,5
com.hzdx.fkzdx.huawei,5
com.tencent.tmgp.cod,5
com.fuyun.match.huawei,5
com.netease.moba.huawei,5
com.longtugame.rxjh.huawei,5
com.netease.skzdhlr.huawei,5
game.bubble.shooter.dragon.pop,5
com.cmplay.dancingline.huawei,5
com.netease.wecc.huawei,5
com.tencent.tmgp.jx3m,5
com.tencent.peng,5
com.joygames.shqz.huawei,5
com.and.games505.TerrariaPaid,5
com.pdragon.junqi.huawei,5
com.bilibili.fgo.huawei,5
com.tencent.wod,5
com.xikunlun.chinesechess,5
com.tencent.tmgp.ddtank,5
com.metek.ultraman.huawei,5
com.netease.harrypotter,5
com.fingertip.xiangqi.huawei,5
com.zlongame.mhmnz,5
com.qqgame.hlddz,5
com.gismart.realpianofree,5
com.ea.games.r3_row,5
com.dtszj.khd.huawei,5
qyj.huawei,5
com.opalastudios.pads,5
com.garena.game.codm,5
com.tencent.ig,5
com.aniplex.fategrandorder,5
com.bohaoo.guandan.HUAWEI,5
cn.flytalk.shudu,5
com.sinyee.babybus.icecream,5
com.sinyee.babybus.drinks,5
com.sinyee.babybus.policemen,5
